"Part","Value","Device","Package","Description","CENTROID_NOT_SPECIFIED","DATASHEET","DC_BLOCKING_VOLTAGE","DEVICE_CLASS_L1","DEVICE_CLASS_L2","DEVICE_CLASS_L3","DIGIKEY_DESCRIPTION","DIGIKEY_PART_NUMBER","FOOTPRINT_URL","FOOTPRINT_VARIANT_NAME_0","FORWARD_CURRENT","HEIGHT","LEAD_FREE","MAX_REPETITIVE_REVERSE_VOLTAGE","MAX_SURGE_FORWARD_CURRENT","MF","MFG_PACKAGE_IDENT","MFG_PACKAGE_IDENT_DATE","MFG_PACKAGE_IDENT_REV","MOUSER_DESCRIPTION","MOUSER_PART_NUMBER","MPN","OC_FARNELL","OC_NEWARK","PACKAGE","PEAK_REVERSE_CURRENT","POPULARITY","PREFIX","PROD_ID","REVERSE_VOLTAGE","ROHS","SPICEPREFIX","STANDOFF_HEIGHT","TEMPERATURE_RANGE_HIGH","TEMPERATURE_RANGE_LOW","VALUE","VERIFICATION_VERSION","WORKING_REVERSE_VOLTAGE",
"BM64","","DJD_EAGLE_LIBRARY_BM64","DJD_EAGLE_LIBRARY_BM64","Microchip BM64 Bluetooth Module","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"BOARD_OUT","","MA04-1","MA04-1","PIN HEADER","","","","","","","","","","","","","","","","","","","","","","","unknown","unknown","","","41","","","","","","","","","","","",
"C1","100nF","C-EUC0805","C0805","CAPACITOR, European symbol","","","","","","","","","","","","","","","","","","","","","","","","","","","88","","","","","C","","","","","","",
"C2","10uF","C-EUC0805","C0805","CAPACITOR, European symbol","","","","","","","","","","","","","","","","","","","","","","","","","","","88","","","","","C","","","","","","",
"C3","100nF","C-EUC0805","C0805","CAPACITOR, European symbol","","","","","","","","","","","","","","","","","","","","","","","","","","","88","","","","","C","","","","","","",
"C4","10uF","C-EUC0805","C0805","CAPACITOR, European symbol","","","","","","","","","","","","","","","","","","","","","","","","","","","88","","","","","C","","","","","","",
"C5","0.1uF","C-EUC0805","C0805","CAPACITOR, European symbol","","","","","","","","","","","","","","","","","","","","","","","","","","","88","","","","","C","","","","","","",
"C6","100nF","C-USC0805","C0805","CAPACITOR, American symbol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"C7","10nF","C-USC0805","C0805","CAPACITOR, American symbol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"C8","","CPOL-USE2-5","E2-5","POLARIZED CAPACITOR, American symbol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"C9","10uF","10UF-POLAR-RADIAL-2.5MM-25V-20%","CPOL-RADIAL-2.5MM-5MM","10.0µF polarized capacitors","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CAP-08440","","","","","","","10uF","","",
"D1","","DIODESMA","SMADIODE","Diode","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"D2","DIODES_HD04-TDIODES_HD04-T_0_0","DIODES_HD04-TDIODES_HD04-T_0_0","DIODES_HD04-T_0","0.8A SURFACE MOUNT GLASS PASSIVATED BRIDGE RECTIFIER","No","https://www.diodes.com/assets/Datasheets/ds17003.pdf","400V","Discrete Semiconductors","Diodes","Rectifier Diodes","DIODE RECT BRIDGE GP 400V 0.8A MINIDIP","HD04DICT-ND","https://www.diodes.com/assets/Package-Files/MiniDIP.pdf","Recommended_Land_Pattern","0.8A","3mm","yes","400V","30A","Diodes","MiniDIP","06/2017","0","Bridge Rectifiers 400V 0.8A","621-HD04T","HD04-T","","","MiniDIP-4","500uA","","D","","280V","yes","","0.2mm","+150°C","-55°C","","0.0.0.1","400V",
"D3","","DIODESOD-123","SOD-123","Diode","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"IC1","LD117AS33TR","LD117AS33TR","SOT223","Low drop fixed and adjustable positive voltage regulators 1 A","","","","","","","","","","","","","","","","","","","","","","","","","","","9","","","","","","","","","","","",
"K1","G5LE","G5LE","G5LE","RELAY","","","","","","","","","","","","","","","","","","","","","","","unknown","unknown","","","13","","","","","","","","","","","",
"K2","G5LE","G5LE","G5LE","RELAY","","","","","","","","","","","","","","","","","","","","","","","unknown","unknown","","","13","","","","","","","","","","","",
"LED1","","LEDCHIP-LED0805","CHIP-LED0805","LED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"LED2","","LEDCHIP-LED0805","CHIP-LED0805","LED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"R1","120","R-EU_M0805","M0805","RESISTOR, European symbol","","","","","","","","","","","","","","","","","","","","","","","","","","","45","","","","","R","","","","","","",
"R2","10k","R-EU_M0805","M0805","RESISTOR, European symbol","","","","","","","","","","","","","","","","","","","","","","","","","","","45","","","","","R","","","","","","",
"R3","1K","R-US_M0805","M0805","RESISTOR, American symbol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"R4","1k","R-US_M0805","M0805","RESISTOR, American symbol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"R4(OPTIONAL)","1K","R-US_M0805","M0805","RESISTOR, American symbol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"R5","57k","R-US_M0805","M0805","RESISTOR, American symbol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"T1","","-NPN-SOT23-EBC","SOT23-EBC","NPN Transistror","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","",
"U$1","ESP32-WROOM","ESP32-WROOM","ESP32-WROOM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"U$2","MICRO-USB-RECEPTACLE47589-0001","MICRO-USB-RECEPTACLE47589-0001","47589-0001","MICRO USB RECEPTACLES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"UART_ESP","","MA04-1","MA04-1","PIN HEADER","","","","","","","","","","","","","","","","","","","","","","","unknown","unknown","","","41","","","","","","","","","","","",
"VIN","","DJD_EAGLE_LIBRARY_AG1171SIL","DJD_EAGLE_LIBRARY_AG1171","Silvertel AG1171 +3.3V / +5.0V Low Power Ringing SLIC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
